World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
727	American University of Beirut	Lebanon	1	262	191	-	775	72.1
728	Montana State University - Bozeman	USA	174	-	1369	-	689	72.1
729	University of Massachusetts Boston	USA	175	-	1243	189	839	72.1
730	Panjab University	India	8	513	705	-	694	72.1
731	Courtauld Institute of Art	United Kingdom	47	13	-	-	-	72.1
732	Kumamoto University	Japan	22	-	716	-	695	72.0
733	Nanjing University of Posts and Telecommunications	China	103	-	816	-	693	72.0
734	Indian Institute of Technology Kharagpur	India	9	-	494	-	711	72.0
735	Kangwon National University	South Korea	22	-	1625	-	691	72.0
736	University of Crete	Greece	5	-	-	-	697	72.0
737	China University of Petroleum (East China)	China	104	-	592	-	710	72.0
738	Birkbeck, University of London	United Kingdom	48	225	-	172	918	72.0
739	Quaid-i-Azam University	Pakistan	1	-	-	-	698	72.0
740	University of Murcia	Spain	22	-	-	-	699	72.0
741	University of Arkansas for Medical Sciences	USA	176	-	-	-	700	72.0
742	Saarland University	Germany	44	-	481	-	719	72.0
743	University of Cyprus	Cyprus	1	-	-	-	703	72.0
744	Ajou University	South Korea	23	-	1124	-	704	72.0
745	COMSATS University Islamabad	Pakistan	2	-	-	-	705	71.9
746	University of Castilla–La Mancha	Spain	23	-	-	-	706	71.9
747	Bangor University	United Kingdom	49	189	775	250	800	71.9
748	Niigata University	Japan	23	-	849	-	715	71.9
749	Harbin Medical University	China	105	-	-	-	708	71.9
750	University of Córdoba, Spain	Spain	24	-	-	-	709	71.9
751	Air Force Medical University	China	106	-	-	-	712	71.9
752	ShanghaiTech University	China	107	-	-	-	713	71.9
753	China Medical University, PRC	China	108	-	-	-	714	71.9
754	Yeungnam University	South Korea	24	-	427	-	735	71.9
755	International School for Advanced Studies	Italy	38	-	-	-	716	71.9
756	University of Jinan	China	109	-	1473	-	717	71.9
757	University of Greifswald	Germany	45	-	-	253	776	71.9
758	Kitasato University	Japan	24	-	-	126	986	71.8
759	Beijing Forestry University	China	110	-	-	-	718	71.8
760	University of Alaska Fairbanks	USA	177	404	812	-	723	71.8
761	University of Salento	Italy	39	-	-	-	720	71.8
762	Technical University of Braunschweig	Germany	46	476	1173	-	722	71.8
763	Tokyo University of Science	Japan	25	308	801	-	733	71.8
764	Guangxi University	China	111	-	-	-	725	71.8
765	University of Idaho	USA	178	-	-	-	726	71.8
766	University of the Andes, Colombia	Colombia	1	-	433	-	758	71.8
767	Federal University of Paraná	Brazil	11	-	1388	-	727	71.8
768	Tarbiat Modares University	Iran	6	-	-	-	728	71.8
769	University of Maryland, Baltimore County	USA	179	-	-	236	830	71.8
770	Augusta University	USA	180	-	-	-	729	71.8
