World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
192,University of Notre Dame,USA,2024,65.0,295.0,38.0,284.0,312.0,79.0
193,Iowa State University,USA,2024,66.0,322.0,131.0,154.0,247.0,79.0
194,Arizona State University,USA,2024,67.0,451.0,649.0,266.0,150.0,79.0
195,University of Calgary,Canada,2024,8.0,551.0,252.0,284.0,149.0,78.9
196,Autonomous University of Barcelona,Spain,2024,2.0,551.0,1001.0,284.0,134.0,78.9
197,University of Vienna,Austria,2024,1.0,142.0,498.0,121.0,236.0,78.9
198,North Carolina State University,USA,2024,68.0,369.0,440.0,176.0,203.0,78.9
199,Sungkyunkwan University,South Korea,2024,4.0,551.0,262.0,284.0,155.0,78.9
200,Technical University of Denmark,Denmark,2024,3.0,199.0,843.0,190.0,197.0,78.8
201,University of Bologna,Italy,2024,4.0,551.0,794.0,284.0,143.0,78.8
202,University of Connecticut,USA,2024,69.0,500.0,387.0,113.0,235.0,78.8
203,Nankai University,China,2024,23.0,551.0,127.0,284.0,188.0,78.8
204,London School of Hygiene & Tropical Medicine,United Kingdom,2024,20.0,380.0,1001.0,123.0,226.0,78.7
205,Jilin University,China,2024,24.0,551.0,358.0,284.0,158.0,78.7
206,Stony Brook University,USA,2024,70.0,189.0,1001.0,148.0,224.0,78.7
207,University of Waterloo,Canada,2024,9.0,551.0,227.0,216.0,211.0,78.7
208,Southeast University,China,2024,25.0,551.0,793.0,284.0,152.0,78.7
209,Institut national du service public,France,2024,11.0,551.0,3.0,284.0,1001.0,78.6
210,University of Adelaide,Australia,2024,8.0,173.0,941.0,284.0,160.0,78.6
211,University of Lisbon,Portugal,2024,1.0,440.0,1001.0,236.0,180.0,78.6
212,Paul Sabatier University,France,2024,12.0,551.0,1001.0,284.0,151.0,78.6
213,Hong Kong University of Science and Technology,China,2024,26.0,551.0,561.0,139.0,229.0,78.5
214,University of Münster,Germany,2024,13.0,364.0,802.0,194.0,205.0,78.5
215,Claude Bernard University Lyon 1,France,2024,13.0,551.0,891.0,284.0,154.0,78.5
216,University of Kansas,USA,2024,71.0,230.0,492.0,114.0,257.0,78.5
217,University of Ottawa,Canada,2024,10.0,551.0,510.0,284.0,162.0,78.5
218,Georgetown University,USA,2024,72.0,370.0,43.0,284.0,336.0,78.4
219,Johannes Gutenberg University Mainz,Germany,2024,14.0,551.0,1001.0,162.0,220.0,78.4
220,University of Georgia,USA,2024,73.0,434.0,293.0,168.0,232.0,78.4
221,RWTH Aachen University,Germany,2024,15.0,512.0,197.0,284.0,189.0,78.4
222,Waseda University,Japan,2024,8.0,331.0,25.0,284.0,543.0,78.3
223,Université catholique de Louvain,Belgium,2024,3.0,551.0,553.0,131.0,251.0,78.3
224,"Soochow University, China",China,2024,27.0,551.0,1001.0,284.0,166.0,78.3
225,Hong Kong Polytechnic University,China,2024,28.0,551.0,321.0,284.0,181.0,78.3
226,Technical University of Dresden,Germany,2024,16.0,551.0,1001.0,284.0,169.0,78.3
227,"University of Tennessee, Knoxville",USA,2024,74.0,439.0,583.0,224.0,214.0,78.2
228,University of Würzburg,Germany,2024,17.0,144.0,1001.0,234.0,219.0,78.2
229,University of Bordeaux,France,2024,14.0,551.0,1001.0,284.0,175.0,78.2
